,rewards,balloon_number_session,run_num,pop_range_0,pop_range_1,balloon_number,press_time_error,press_time_time,balloon_in_bag,trkp_press_time,key_pressed,log_time,reward_appear_time_time,reward_appear_time_error,rt,grand_total,bag_ID_number,eeg_pulse_time,trial,set_number,pop_status,total,block,balloon_size,log_num,trkp_press_time_error,trkp_press_time_time
120,0.14,4.0,2.0,8.0,16.0,4.0,0.000498700884122627,2026.1104988172478,4.0,,4,2026.6604988172478,2025.658299019942,0.0,0.452199797305866,2.0500000000000007,0.0,,5.0,0.0,not_popped,0.77,0.0,130.0,0.0,,
121,0.21,4.0,2.0,8.0,16.0,4.0,0.0014455399241342093,2028.4324865669375,4.0,,4,2028.9824865669375,2027.9170502507634,0.0,0.5154363161741458,2.040000000000001,0.0,,6.0,0.0,not_popped,0.98,0.0,135.0,0.0,,
122,0.23,4.0,2.0,8.0,16.0,4.0,0.0029100581872398834,2030.7837542922907,4.0,,4,2031.3337542922907,2030.250846821807,0.0,0.5329074704836785,2.030000000000001,0.0,,7.0,0.0,not_popped,1.21,0.0,140.0,0.0,,
123,0.15,4.0,2.0,8.0,16.0,4.0,0.0013020248918564903,2033.0825237755646,4.0,,1,2033.5825237755646,2032.7180539139986,0.0,0.3644698615660218,3.240000000000001,0.0,,8.0,0.0,not_popped,1.21,0.0,140.0,0.0,,
124,0.16,5.0,2.0,8.0,16.0,5.0,0.0005103372382109228,2035.8028485794505,5.0,,4,2036.3528485794504,2035.5185843655056,0.0,0.2842642139448799,3.240000000000001,0.0,,0.0,0.0,not_popped,0.16,0.0,105.0,0.0,,
125,0.16,5.0,2.0,8.0,16.0,5.0,0.0005489865567369634,2037.8339673760966,5.0,,4,2038.3839673760965,2037.6023447807352,0.0,0.23162259536138663,3.240000000000001,0.0,,1.0,0.0,not_popped,0.32,0.0,110.0,0.0,,
126,0.2,5.0,2.0,8.0,16.0,5.0,0.0005392895950535603,2040.0722300352027,5.0,,4,2040.6222300352026,2039.7861041431515,0.0,0.2861258920511318,3.240000000000001,0.0,,2.0,0.0,not_popped,0.52,0.0,115.0,0.0,,
127,0.23,5.0,2.0,8.0,16.0,5.0,0.0005244670966249032,2042.4383550295925,5.0,,4,2042.9883550295924,2042.1199034847555,0.0,0.31845154483698934,3.240000000000001,0.0,,3.0,0.0,not_popped,0.75,0.0,120.0,0.0,,
128,0.11,5.0,2.0,8.0,16.0,5.0,0.0004912203709181995,2044.5643651066748,5.0,,4,2045.1143651066748,2044.228770718944,0.0,0.33559438773090733,3.240000000000001,0.0,,4.0,0.0,not_popped,0.86,0.0,125.0,0.0,,
129,0.09,5.0,2.0,8.0,16.0,5.0,0.004005399268294241,2046.8339148739756,5.0,,4,2047.3839148739755,2046.4374069438004,0.0,0.3965079301751757,3.240000000000001,0.0,,5.0,0.0,not_popped,0.95,0.0,130.0,0.0,,
